Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Audi A4 2.0,Kochi,2015,34000,Diesel,Automatic,First,17.11,1968,174.33,5.0,2143000.0
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74.0,5.0,425000.0
Maruti Swift Ldi,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75.0,5.0,330000.0
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74.0,5.0,385000.0
Hyundai Grand i10,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82.0,5.0,360000.0
Volkswagen Vento 2013-2015,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5.0,399000.0
Renault KWID RXT,Kochi,2017,34000,Petrol,Manual,First,25.17,799,53.3,5.0,330000.0
Hyundai i10 Asta,Kolkata,2010,34000,Petrol,Manual,First,20.36,1197,78.9,5.0,206999.99999999997
Nissan X-Trail SLX,Hyderabad,2010,73000,Diesel,Automatic,First,13.29,1995,147.6,5.0,775000.0
Maruti Zen Estilo,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5.0,225000.0
Toyota Innova Crysta,Mumbai,2017,34000,Diesel,Manual,First,13.68,2393,147.8,8.0,1650000.0
Ford Figo Diesel,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399,68.0,5.0,275000.0
Mercedes-Benz New C-Class,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186.0,5.0,2670000.0
Mercedes-Benz New C-Class,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170.0,5.0,1000000.0
Tata Indica V2,Chennai,2016,73000,Diesel,Manual,First,25.0,1396,69.0,5.0,250000.0
Audi A4 2.0,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140.0,5.0,1350000.0
Honda City ZX,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78.0,5.0,185000.0
Mercedes-Benz C-Class Progressive,Coimbatore,2019,34000,Diesel,Automatic,First,18.0,1950,194.0,5.0,3567000.0
Maruti Ertiga SHVS,Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7.0,815000.0
Hyundai Creta 1.4,Mumbai,2018,34000,Diesel,Manual,First,22.1,1396,88.7,5.0,1050000.0
Porsche Cayenne 2009-2014,Mumbai,2008,73000,Petrol,Automatic,First,8.5,1621,500.0,5.0,1450000.0
Mahindra XUV500 W8,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140.0,7.0,965000.0
Hyundai i10 Sportz,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5.0,348000.0
Nissan Terrano XV,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5.0,692000.0
Honda Brio VX,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5.0,646000.0
Audi A6 2.0,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5.0,2950000.0
Ford Fiesta 1.4,Jaipur,2008,73000,Diesel,Manual,First,17.8,1399,113.25,5.0,200000.0
Toyota Innova 2.0,Chennai,2006,73000,Petrol,Manual,Third,12.4,1998,132.0,8.0,450000.0
Toyota Innova 2.5,Hyderabad,2012,73000,Diesel,Manual,First,12.8,2494,102.0,7.0,1175000.0
Hyundai Santro Xing,Hyderabad,2005,73000,Petrol,Manual,First,18.0,1086,113.25,5.0,130000.0
Maruti Swift VDI,Jaipur,2012,73000,Diesel,Manual,First,22.9,1248,74.0,5.0,375000.0
Tata Zest Revotron,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5.0,450000.0
Honda Amaze SX,Kochi,2016,54944,Petrol,Manual,First,18.0,1198,86.7,5.0,482000.0
Ford Figo Diesel,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399,68.0,5.0,280000.0
Maruti Ritz VDi,Jaipur,2013,73000,Diesel,Manual,First,23.2,1248,73.94,5.0,311000.0
Honda City i,Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5.0,325000.0
BMW 5 Series,Delhi,2011,73000,Diesel,Automatic,Second,16.73,1995,218.0,5.0,1390000.0
Hyundai i10 Sportz,Pune,2009,73000,Petrol,Manual,First,20.36,1197,78.9,5.0,225000.0
Hyundai Grand i10,Bangalore,2016,34000,Petrol,Manual,First,18.9,1197,82.0,5.0,575000.0
Hyundai Santro Xing,Hyderabad,2007,73000,Petrol,Manual,First,17.0,1086,113.25,5.0,210000.0
Honda Amaze SX,Mumbai,2016,34000,Petrol,Manual,First,17.8,1198,86.7,5.0,500000.0
Toyota Fortuner 4x2,Delhi,2014,73000,Diesel,Manual,First,13.0,2982,168.5,7.0,1650000.0
Audi A6 2011-2015,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5.0,3958000.0
Ford Ecosport 1.5,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5.0,550000.0
Mahindra XUV500 W8,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140.0,7.0,810000.0
Honda Amaze SX,Kolkata,2015,34000,Diesel,Manual,First,25.8,1498,98.6,5.0,350000.0
Volkswagen Polo Diesel,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5.0,279000.0
Hyundai Verna Transform,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110.0,5.0,345000.0
Maruti Wagon R,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5.0,445000.0
Volkswagen Polo Petrol,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5.0,265000.0
Hyundai i20 1.4,Pune,2011,73000,Diesel,Manual,Second,23.0,1396,90.0,5.0,380000.0
Hyundai i20 Asta,Mumbai,2014,34000,Petrol,Manual,First,18.5,1197,82.85,5.0,465000.00000000006
Datsun GO Plus,Pune,2017,34000,Petrol,Manual,First,19.83,1198,67.0,7.0,395000.0
Audi A4 3.0,Kolkata,2010,34000,Diesel,Automatic,First,14.94,2967,241.4,5.0,980000.0000000001
Hyundai i20 2015-2017,Pune,2009,66000,Petrol,Manual,Second,17.0,1197,80.0,5.0,270000.0
Maruti Omni 5,Coimbatore,2010,73000,Petrol,Manual,First,14.0,796,35.0,5.0,241000.0
Toyota Etios Liva,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5.0,390000.0
Jaguar XF 3.0,Hyderabad,2011,73000,Diesel,Automatic,Second,14.74,2993,270.9,5.0,2400000.0
Mahindra XUV500 W8,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179,140.0,7.0,575000.0
Hyundai Verna 1.6,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5.0,525000.0
Toyota Innova Crysta,Mumbai,2017,34000,Diesel,Automatic,First,11.36,2755,171.5,7.0,1925000.0
Maruti Eeco 5,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73.0,5.0,391000.0
Tata Nano Twist,Bangalore,2014,34000,Petrol,Manual,First,25.4,624,37.5,4.0,215000.0
BMW 3 Series,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190.0,5.0,2075000.0
Honda Civic 2006-2010,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130.0,5.0,335000.0
Toyota Innova 2.5,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7.0,1111000.0
Volvo V40 Cross,Bangalore,2014,34000,Diesel,Automatic,First,23.3,1984,150.0,5.0,2000000.0
Nissan Micra XV,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5.0,655000.0
BMW 5 Series,Mumbai,2009,73000,Petrol,Automatic,First,10.8,2497,215.0,5.0,700000.0
Maruti Vitara Brezza,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5.0,750000.0
Hyundai Santro Xing,Mumbai,2005,73000,Petrol,Manual,Second,17.0,1086,113.25,5.0,85000.0
Mercedes-Benz B Class,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143,107.3,5.0,1675000.0
Hyundai Verna CRDi,Kolkata,2018,34000,Diesel,Manual,First,22.0,1582,126.2,5.0,1095000.0
Maruti Wagon R,Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5.0,245000.00000000003
Tata Nano XTA,Coimbatore,2017,34000,Petrol,Automatic,First,21.9,624,37.48,4.0,323000.0
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120.0,8.0,775000.0
Mercedes-Benz New C-Class,Kolkata,2009,34000,Petrol,Automatic,First,11.7,1796,178.0,5.0,935000.0
Maruti Wagon R,Pune,2013,73000,CNG,Manual,First,26.6,998,58.16,5.0,325000.0
Honda CR-V 2.4,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152.0,5.0,525000.0
Volkswagen Vento 1.5,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5.0,725000.0
Maruti Ciaz VXi,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5.0,747000.0
Mahindra XUV500 AT,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179,140.0,7.0,1325000.0
Maruti Ritz VXI,Coimbatore,2016,34000,Petrol,Manual,First,21.1,1197,85.8,5.0,581000.0
Maruti Alto K10,Hyderabad,2014,73000,Petrol,Manual,First,24.07,998,67.1,5.0,260000.0
Mercedes-Benz SLC 43,Kolkata,2017,34000,Petrol,Automatic,First,19.0,2996,362.07,2.0,5400000.0
Hyundai Verna VTVT,Kochi,2019,34000,Petrol,Automatic,First,17.0,1591,121.3,5.0,1150000.0
Maruti Alto LXi,Chennai,2010,73000,Petrol,Manual,Second,19.7,796,46.3,5.0,160000.0
BMW 1 Series,Coimbatore,2015,34000,Diesel,Automatic,First,20.58,1995,143.0,5.0,1722000.0
Honda Jazz 1.2,Mumbai,2015,34000,Petrol,Automatic,First,19.0,1199,88.7,5.0,600000.0
Honda Civic 2006-2010,Delhi,2012,73000,Petrol,Manual,First,13.5,1799,130.0,5.0,395000.0
Mercedes-Benz New C-Class,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170.0,5.0,1795000.0
Honda Amaze SX,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5.0,370000.0
Maruti Swift VVT,Kochi,2016,34204,Petrol,Manual,First,22.0,1197,81.8,5.0,543000.0
Hyundai Santro Xing,Kochi,2008,73000,Petrol,Manual,Third,17.0,1086,113.25,5.0,167000.0
Toyota Fortuner 3.0,Coimbatore,2012,73000,Diesel,Manual,First,11.5,2982,171.0,7.0,1349000.0
Chevrolet Beat LT,Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5.0,285000.0
Skoda Rapid 1.5,Chennai,2013,73000,Diesel,Manual,First,21.14,1498,103.52,5.0,475000.0
Maruti Ciaz 1.4,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5.0,990000.0
Audi RS5 Coupe,Mumbai,2013,34000,Petrol,Automatic,First,11.05,2894,444.0,4.0,3700000.0
BMW 3 Series,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190.0,5.0,2650000.0
Audi A4 2.0,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5.0,2332000.0
Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74.0,5.0,625000.0
Mercedes-Benz S Class,Kolkata,2010,35277,Petrol,Automatic,First,7.81,1621,362.9,5.0,3000000.0
Skoda Rapid 1.5,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5.0,986000.0
Skoda Superb Elegance,Pune,2012,73000,Diesel,Automatic,First,17.2,1968,138.1,5.0,850000.0
Hyundai EON Magna,Kochi,2019,34000,Petrol,Manual,First,21.1,814,55.2,5.0,423000.00000000006
Volkswagen Polo Diesel,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5.0,350000.0
Datsun GO NXT,Kolkata,2016,34000,Petrol,Manual,First,20.63,1198,67.06,5.0,250000.0
Honda Brio S,Kolkata,2013,34000,Petrol,Manual,First,19.4,1198,86.8,5.0,239000.0
Mercedes-Benz B Class,Delhi,2013,34000,Petrol,Automatic,First,14.8,1595,120.7,5.0,1125000.0
Honda City i,Kochi,2015,42831,Diesel,Manual,First,26.0,1498,98.6,5.0,711000.0
Toyota Innova 2.5,Ahmedabad,2016,73000,Diesel,Manual,First,12.99,2494,100.6,7.0,1090000.0
Maruti Swift VXI,Ahmedabad,2017,34000,Petrol,Manual,First,20.4,1197,81.8,5.0,620000.0
Mahindra XUV500 W8,Mumbai,2012,34000,Diesel,Manual,First,15.1,2179,140.0,7.0,790000.0
Ford Ecosport 1.5,Kochi,2014,73000,Diesel,Manual,First,22.7,1498,89.84,5.0,442000.0
Toyota Fortuner 4x2,Mumbai,2012,73000,Diesel,Manual,First,13.0,2982,168.5,7.0,1350000.0
Volkswagen Vento 1.5,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5.0,625000.0
Ford Figo Diesel,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399,68.0,5.0,210000.0
BMW X5 xDrive,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258.0,5.0,4500000.0
Mercedes-Benz New C-Class,Coimbatore,2017,34000,Diesel,Automatic,First,19.27,2143,167.62,5.0,3365999.9999999995
Honda Brio V,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5.0,365000.0
Hyundai i10 Magna,Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5.0,275000.0
Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170.0,5.0,4250000.0
Hyundai Grand i10,Kolkata,2019,34000,Petrol,Manual,First,18.9,1197,81.86,5.0,650000.0
Audi A6 2011-2015,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5.0,1900000.0
Volkswagen Vento Petrol,Mumbai,2013,34000,Petrol,Automatic,Second,14.4,1598,103.6,5.0,445000.0
Mini Countryman Cooper,Jaipur,2017,34000,Diesel,Automatic,Second,16.6,1998,112.0,5.0,2300000.0
Hyundai i20 Asta,Bangalore,2014,34000,Diesel,Manual,First,22.54,1396,88.73,5.0,835000.0
Audi A6 2011-2015,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5.0,2295000.0
Chevrolet Beat Diesel,Jaipur,2012,73000,Diesel,Manual,First,25.44,936,57.6,5.0,150000.0
Skoda Superb Elegance,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5.0,689000.0
Ford Fiesta 1.4,Chennai,2006,73000,Diesel,Manual,Second,17.8,1399,68.0,5.0,145000.0
BMW 5 Series,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190.0,5.0,3350000.0
Chevrolet Optra Magnum,Jaipur,2007,73000,Petrol,Manual,First,12.9,1598,102.5,5.0,125000.0
Volkswagen Polo Diesel,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5.0,420000.0
Renault Lodgy 110PS,Mumbai,2015,34000,Diesel,Manual,First,19.98,1461,108.5,8.0,675000.0
Mercedes-Benz E-Class E250,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143,201.1,5.0,3200000.0
Maruti Baleno Alpha,Kochi,2017,34000,Petrol,Manual,First,21.4,1197,83.1,5.0,750000.0
Hyundai Verna 1.6,Delhi,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5.0,459999.99999999994
Hyundai i10 Magna,Kochi,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5.0,404000.0
Mahindra Scorpio 1.99,Kochi,2016,56739,Diesel,Manual,First,15.4,1997,120.0,7.0,1031000.0
Land Rover Range,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5.0,5576000.0
Ford Figo Diesel,Chennai,2010,73000,Diesel,Manual,First,20.0,1399,68.0,5.0,260000.0
Maruti Ertiga ZDI,Mumbai,2016,34000,Diesel,Manual,First,25.47,1248,88.5,7.0,850000.0
Honda City 1.5,Ahmedabad,2007,60006,Petrol,Manual,First,18.0,1621,113.25,5.0,295000.0
Honda Amaze S,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5.0,350000.0
Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5.0,355000.0
Honda Amaze S,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5.0,325000.0
Skoda Laura Ambiente,Hyderabad,2008,73000,Diesel,Manual,First,17.5,1896,106.0,5.0,450000.0
Renault Duster 85PS,Delhi,2014,73000,Diesel,Manual,First,19.87,1461,83.8,5.0,535000.0
Mahindra NuvoSport N6,Chennai,2017,34000,Diesel,Manual,Second,17.45,1493,100.0,7.0,650000.0
Maruti Vitara Brezza,Mumbai,2016,34000,Diesel,Manual,First,24.3,1248,88.5,5.0,900000.0
Hyundai i20 Asta,Kochi,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5.0,600000.0
Skoda Fabia 1.4,Jaipur,2009,73000,Petrol,Manual,First,14.7,1390,85.0,5.0,275000.0
Tata Indigo eCS,Pune,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5.0,150000.0
Audi Q3 2012-2015,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5.0,1989999.9999999998
Skoda Octavia Elegance,Mumbai,2014,73000,Petrol,Automatic,First,14.7,1798,177.5,5.0,1000000.0
Toyota Etios Liva,Delhi,2014,73000,Diesel,Manual,First,23.59,1364,67.06,5.0,300000.0
Maruti Swift 1.3,Kolkata,2010,42001,Petrol,Manual,First,16.1,1621,113.25,5.0,211000.0
Mercedes-Benz B Class,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5.0,1196000.0
Honda Amaze S,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5.0,325000.0
Hyundai Verna 1.6,Jaipur,2012,73000,Diesel,Manual,Second,22.32,1582,126.32,5.0,475000.0
Renault Duster 85PS,Mumbai,2014,34000,Diesel,Manual,First,20.46,1461,83.8,5.0,595000.0
Hyundai Creta 1.6,Delhi,2015,34000,Petrol,Manual,Second,15.29,1591,121.3,5.0,815000.0
Maruti Wagon R,Mumbai,2016,34000,Petrol,Automatic,First,20.51,998,67.0,5.0,422000.0
Mercedes-Benz New C-Class,Kolkata,2010,34000,Petrol,Automatic,First,11.74,1796,186.0,5.0,1050000.0
Audi A8 L,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5.0,4500000.0
Hyundai i10 Magna,Pune,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5.0,290000.0
Skoda Rapid 1.6,Mumbai,2017,34000,Petrol,Automatic,First,14.3,1598,103.52,5.0,890000.0
Skoda Superb Style,Hyderabad,2017,34000,Petrol,Automatic,First,14.67,1798,177.46,5.0,2600000.0
Hyundai i20 Active,Coimbatore,2018,34000,Petrol,Manual,First,17.19,1197,81.86,5.0,822000.0000000001
Honda Amaze VX,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5.0,350000.0
Maruti Wagon R,Chennai,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5.0,125000.0
Mahindra Verito 1.5,Hyderabad,2013,73000,Diesel,Manual,First,21.03,1461,65.0,5.0,370000.0
Mercedes-Benz New C-Class,Coimbatore,2018,34000,Diesel,Automatic,First,19.27,2143,167.62,5.0,3940999.9999999995
Maruti Wagon R,Kolkata,2013,34000,Petrol,Manual,First,22.5,998,67.04,5.0,265000.0
Nissan Terrano XV,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5.0,892000.0
Maruti Swift VDI,Delhi,2013,47000,Diesel,Manual,First,17.8,1248,113.25,5.0,409999.99999999994
Mini Cooper Convertible,Kochi,2017,34000,Petrol,Automatic,First,16.82,1998,189.08,4.0,3567000.0
Ford Figo Diesel,Bangalore,2015,70436,Diesel,Manual,First,18.0,1498,99.0,5.0,360000.0
Tata Indica V2,Jaipur,2007,73000,Diesel,Manual,Second,17.2,1396,53.5,5.0,85000.0
Chevrolet Beat LT,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5.0,332000.0
Volkswagen Polo Diesel,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199,73.9,5.0,360000.0
Maruti Swift ZDi,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248,74.0,5.0,680000.0
Ford Figo Diesel,Kolkata,2012,41284,Diesel,Manual,First,20.0,1399,68.05,5.0,250000.0
Toyota Innova Crysta,Kochi,2019,34000,Diesel,Automatic,First,11.36,2755,171.5,7.0,1964000.0
Hyundai Santa Fe,Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199,194.3,7.0,700000.0
Honda City i-VTEC,Kolkata,2011,34000,Petrol,Manual,First,17.4,1497,117.3,5.0,387000.0
Hyundai i20 1.2,Kochi,2018,34000,Petrol,Manual,First,18.6,1197,81.83,5.0,627000.0
Mercedes-Benz New C-Class,Kochi,2015,55980,Diesel,Automatic,First,19.27,2143,167.62,5.0,1812000.0
Chevrolet Beat Diesel,Mumbai,2013,73000,Diesel,Manual,First,25.44,936,57.6,5.0,265000.0
Hyundai i20 Sportz,Kochi,2015,56847,Diesel,Manual,First,22.54,1396,88.73,5.0,720000.0
Toyota Innova 2.5,Coimbatore,2015,73000,Diesel,Manual,First,12.99,2494,100.6,7.0,1430000.0
Maruti Ertiga VDI,Chennai,2013,52000,Diesel,Manual,First,20.77,1248,88.76,7.0,690000.0
Toyota Innova 2.5,Mumbai,2014,73000,Diesel,Manual,First,12.8,2494,102.0,7.0,1075000.0
Hyundai Santro Xing,Mumbai,2007,72000,Petrol,Manual,Third,17.0,1086,113.25,5.0,95000.0
Honda City i,Kochi,2016,34000,Petrol,Manual,First,17.8,1497,117.3,5.0,809000.0
BMW X1 sDrive20d,Ahmedabad,2014,73000,Diesel,Automatic,First,17.05,1995,184.0,5.0,1850000.0
Hyundai Grand i10,Mumbai,2017,34000,Diesel,Manual,First,24.0,1120,70.0,5.0,475000.0
Maruti Ciaz 1.3,Chennai,2016,34000,Diesel,Manual,First,28.09,1248,88.5,5.0,844999.9999999999
